История;Цепь шаблонов;Что происходит
Пришёл → нашёл → сказал напарнику;T2 (или T3+T2-c3) → T1;место и предмет, потом диалог
Жил там → служил → работал тут;T8 + T8 + T8;каждый мир самостоятельный
Смотрит дело → понимает → бежит;T4 или T2 → T7 → T6;взгляд, удар, путь
Допрос, внутри папка;T1 целиком;K1–K5 как есть
Утро дома → вышел на работу;T9 → T10 → T3;быт, уход, новое место
Говорят, врезка того, о чём речь;T1, вместо K4 ставь T4-K2;объект взгляда вместо детали на столе
Две VO-ячейки, одно место;T* → X1;без нового общего
Две VO-ячейки, разные места;T* → X2 (или T6, если назван переход);два master
